country,club,city,year,trainer,points
Германия,Бавария,Мюнхен,2000,Венсан Компани,63
Россия,Спартак,Москва,2018,Деян Станкович,75
Германия,Лейпциг,Лейпциг,2014,Жолт Лев,8
Англия,Арсенал,Лондон,2014,Микель Артета,48
Италия,Милан,Милан,2020,Сержиу Консейсан,1
Италия,Милан,Милан,2007,Сержиу Консейсан,52
Германия,Лейпциг,Лейпциг,2019,Жолт Лев,1
Англия,Манчестер Сити,Манчестер,2011,Пеп Гвардиола,64
Россия,Спартак,Москва,2011,Деян Станкович,50
Италия,Ювентус,Турин,2012,Игор Тудор,24
Англия,Арсенал,Лондон,2024,Микель Артета,48
Россия,ЦСКА,Москва,2011,Марко Николич,95
Италия,Интер,Милан,2012, Симоне Индзаги,77
Италия,Интер,Милан,2012, Симоне Индзаги,47
Россия,Спартак,Москва,2002,Деян Станкович,58
Россия,Зенит,Санкт-Петербург,2010,Семак Сергей Богданович,38
Германия,Боруссия,Дортмунд,2022,Нико Ковач,38
Россия,Зенит,Санкт-Петербург,2022,Семак Сергей Богданович,7
Германия,Лейпциг,Лейпциг,2012,Жолт Лев,100
Испания,Реал Мадрид,Мадрид,2021,Карло Анчелотти,94
Англия,Арсенал,Лондон,2003,Микель Артета,37
Италия,Интер,Милан,2007, Симоне Индзаги,93
Испания,Реал Мадрид,Мадрид,2019,Карло Анчелотти,69
Испания,Реал Мадрид,Мадрид,2022,Карло Анчелотти,12
Италия,Ювентус,Турин,2017,Игор Тудор,74
Италия,Ювентус,Турин,2006,Игор Тудор,50
Россия,Спартак,Москва,2003,Деян Станкович,34
Италия,Ювентус,Турин,2023,Игор Тудор,78
Англия,Арсенал,Лондон,2008,Микель Артета,78
Италия,Интер,Милан,2001, Симоне Индзаги,73
Италия,Ювентус,Турин,2003,Игор Тудор,100
Россия,Спартак,Москва,2016,Деян Станкович,83
Италия,Интер,Милан,2009, Симоне Индзаги,86
Италия,Интер,Милан,2013, Симоне Индзаги,85
Россия,ЦСКА,Москва,2023,Марко Николич,80
Испания,Реал Мадрид,Мадрид,2011,Карло Анчелотти,32
Германия,Бавария,Мюнхен,2006,Венсан Компани,15
Англия,Челси,Лондон,2018,Энцо Мареска,5
Россия,Спартак,Москва,2010,Деян Станкович,24
Англия,Арсенал,Лондон,2008,Микель Артета,25
Италия,Ювентус,Турин,2003,Игор Тудор,59
Испания,Барселона,Барселона,2010,Ханс‑Дитер Флик,65
Италия,Интер,Милан,2008, Симоне Индзаги,80
Россия,Зенит,Санкт-Петербург,2018,Семак Сергей Богданович,71
Англия,Челси,Лондон,2005,Энцо Мареска,35
Италия,Интер,Милан,2005, Симоне Индзаги,30
Англия,Челси,Лондон,2008,Энцо Мареска,39
Италия,Милан,Милан,2004,Сержиу Консейсан,72
Испания,Атлетико,Мадрид,2007,Диего Симеоне,4
Англия,Челси,Лондон,2000,Энцо Мареска,3
Италия,Милан,Милан,2019,Сержиу Консейсан,54
Англия,Челси,Лондон,2018,Энцо Мареска,5
Россия,ЦСКА,Москва,2013,Марко Николич,30
Германия,Боруссия,Дортмунд,2025,Нико Ковач,60
Испания,Атлетико,Мадрид,2023,Диего Симеоне,91
Италия,Милан,Милан,2012,Сержиу Консейсан,95
Испания,Барселона,Барселона,2011,Ханс‑Дитер Флик,56
Россия,ЦСКА,Москва,2009,Марко Николич,33
Англия,Арсенал,Лондон,2025,Микель Артета,27
Россия,Спартак,Москва,2017,Деян Станкович,99
Германия,Боруссия,Дортмунд,2007,Нико Ковач,78
Германия,Боруссия,Дортмунд,2021,Нико Ковач,74
Италия,Милан,Милан,2004,Сержиу Консейсан,68
Испания,Барселона,Барселона,2007,Ханс‑Дитер Флик,8
Россия,ЦСКА,Москва,2010,Марко Николич,87
Испания,Атлетико,Мадрид,2009,Диего Симеоне,8
Германия,Лейпциг,Лейпциг,2008,Жолт Лев,71
Англия,Манчестер Сити,Манчестер,2011,Пеп Гвардиола,30
Англия,Челси,Лондон,2011,Энцо Мареска,9
Италия,Милан,Милан,2013,Сержиу Консейсан,76
Италия,Милан,Милан,2008,Сержиу Консейсан,44
Англия,Арсенал,Лондон,2011,Микель Артета,94
Англия,Арсенал,Лондон,2018,Микель Артета,7
Англия,Челси,Лондон,2018,Энцо Мареска,53
Англия,Челси,Лондон,2021,Энцо Мареска,44
Россия,Зенит,Санкт-Петербург,2018,Семак Сергей Богданович,91
Россия,Зенит,Санкт-Петербург,2008,Семак Сергей Богданович,91
Россия,Зенит,Санкт-Петербург,2020,Семак Сергей Богданович,10
Испания,Реал Мадрид,Мадрид,2025,Карло Анчелотти,70
Россия,Зенит,Санкт-Петербург,2025,Семак Сергей Богданович,7
Испания,Атлетико,Мадрид,2003,Диего Симеоне,44
Англия,Манчестер Сити,Манчестер,2015,Пеп Гвардиола,91
Англия,Арсенал,Лондон,2020,Микель Артета,78
Германия,Лейпциг,Лейпциг,2022,Жолт Лев,85
Италия,Ювентус,Турин,2016,Игор Тудор,11
Англия,Челси,Лондон,2019,Энцо Мареска,84
Испания,Атлетико,Мадрид,2007,Диего Симеоне,71
Италия,Милан,Милан,2009,Сержиу Консейсан,66
Германия,Бавария,Мюнхен,2025,Венсан Компани,40
Россия,ЦСКА,Москва,2020,Марко Николич,56
Германия,Бавария,Мюнхен,2015,Венсан Компани,36
Испания,Атлетико,Мадрид,2016,Диего Симеоне,44
Испания,Барселона,Барселона,2014,Ханс‑Дитер Флик,86
Испания,Барселона,Барселона,2009,Ханс‑Дитер Флик,17
Россия,Зенит,Санкт-Петербург,2013,Семак Сергей Богданович,77
Англия,Манчестер Сити,Манчестер,2005,Пеп Гвардиола,85
Германия,Боруссия,Дортмунд,2007,Нико Ковач,42
Испания,Реал Мадрид,Мадрид,2000,Карло Анчелотти,13
Испания,Атлетико,Мадрид,2000,Диего Симеоне,19
Италия,Ювентус,Турин,2009,Игор Тудор,50
