country,club,city,year,trainer,points
Италия,Милан,Милан,2018,Сержиу Консейсан,72
Италия,Ювентус,Турин,2003,Игор Тудор,42
Германия,Лейпциг,Лейпциг,2005,Жолт Лев,20
Англия,Челси,Лондон,2004,Энцо Мареска,55
Россия,ЦСКА,Москва,2007,Марко Николич,0
Англия,Челси,Лондон,2003,Энцо Мареска,14
Италия,Милан,Милан,2015,Сержиу Консейсан,39
Испания,Реал Мадрид,Мадрид,2021,Карло Анчелотти,14
Испания,Реал Мадрид,Мадрид,2003,Карло Анчелотти,10
Испания,Реал Мадрид,Мадрид,2000,Карло Анчелотти,80
Испания,Барселона,Барселона,2008,Ханс‑Дитер Флик,63
Россия,Зенит,Санкт-Петербург,2015,Семак Сергей Богданович,17
Россия,Спартак,Москва,2014,Деян Станкович,54
Англия,Арсенал,Лондон,2022,Микель Артета,68
Россия,ЦСКА,Москва,2001,Марко Николич,45
Германия,Боруссия,Дортмунд,2006,Нико Ковач,21
Англия,Челси,Лондон,2002,Энцо Мареска,70
Германия,Лейпциг,Лейпциг,2021,Жолт Лев,95
Испания,Реал Мадрид,Мадрид,2006,Карло Анчелотти,17
Италия,Интер,Милан,2018, Симоне Индзаги,93
Италия,Ювентус,Турин,2013,Игор Тудор,28
Россия,ЦСКА,Москва,2022,Марко Николич,84
Россия,Зенит,Санкт-Петербург,2021,Семак Сергей Богданович,58
Англия,Челси,Лондон,2020,Энцо Мареска,100
Англия,Манчестер Сити,Манчестер,2017,Пеп Гвардиола,72
Россия,Зенит,Санкт-Петербург,2016,Семак Сергей Богданович,18
Россия,ЦСКА,Москва,2003,Марко Николич,4
Англия,Арсенал,Лондон,2000,Микель Артета,78
Англия,Челси,Лондон,2005,Энцо Мареска,59
Германия,Лейпциг,Лейпциг,2012,Жолт Лев,36
Италия,Интер,Милан,2006, Симоне Индзаги,72
Россия,Зенит,Санкт-Петербург,2016,Семак Сергей Богданович,39
Россия,ЦСКА,Москва,2017,Марко Николич,22
Италия,Интер,Милан,2015, Симоне Индзаги,30
Англия,Челси,Лондон,2010,Энцо Мареска,37
Англия,Арсенал,Лондон,2017,Микель Артета,10
Англия,Челси,Лондон,2001,Энцо Мареска,20
Англия,Арсенал,Лондон,2016,Микель Артета,73
Россия,Спартак,Москва,2017,Деян Станкович,25
Англия,Челси,Лондон,2016,Энцо Мареска,70
Англия,Манчестер Сити,Манчестер,2021,Пеп Гвардиола,17
Италия,Ювентус,Турин,2011,Игор Тудор,1
Германия,Бавария,Мюнхен,2012,Венсан Компани,21
Испания,Атлетико,Мадрид,2021,Диего Симеоне,35
Англия,Арсенал,Лондон,2000,Микель Артета,22
Англия,Манчестер Сити,Манчестер,2018,Пеп Гвардиола,79
Англия,Челси,Лондон,2001,Энцо Мареска,59
Испания,Барселона,Барселона,2003,Ханс‑Дитер Флик,6
Испания,Реал Мадрид,Мадрид,2000,Карло Анчелотти,60
Россия,ЦСКА,Москва,2020,Марко Николич,67
Россия,Зенит,Санкт-Петербург,2024,Семак Сергей Богданович,33
Италия,Интер,Милан,2016, Симоне Индзаги,87
Англия,Манчестер Сити,Манчестер,2006,Пеп Гвардиола,97
Россия,ЦСКА,Москва,2023,Марко Николич,3
Германия,Лейпциг,Лейпциг,2008,Жолт Лев,31
Германия,Боруссия,Дортмунд,2022,Нико Ковач,83
Германия,Лейпциг,Лейпциг,2000,Жолт Лев,25
Германия,Бавария,Мюнхен,2023,Венсан Компани,29
Испания,Атлетико,Мадрид,2023,Диего Симеоне,10
Германия,Бавария,Мюнхен,2025,Венсан Компани,24
Англия,Арсенал,Лондон,2022,Микель Артета,24
Италия,Милан,Милан,2002,Сержиу Консейсан,43
Германия,Бавария,Мюнхен,2018,Венсан Компани,88
Германия,Лейпциг,Лейпциг,2005,Жолт Лев,34
Германия,Лейпциг,Лейпциг,2010,Жолт Лев,49
Германия,Бавария,Мюнхен,2003,Венсан Компани,42
Италия,Милан,Милан,2013,Сержиу Консейсан,89
Англия,Челси,Лондон,2002,Энцо Мареска,61
Россия,Спартак,Москва,2013,Деян Станкович,82
Германия,Боруссия,Дортмунд,2005,Нико Ковач,74
Россия,Зенит,Санкт-Петербург,2022,Семак Сергей Богданович,83
Германия,Бавария,Мюнхен,2011,Венсан Компани,3
Германия,Лейпциг,Лейпциг,2004,Жолт Лев,7
Испания,Барселона,Барселона,2023,Ханс‑Дитер Флик,31
Испания,Атлетико,Мадрид,2010,Диего Симеоне,44
Россия,Спартак,Москва,2012,Деян Станкович,54
Италия,Интер,Милан,2017, Симоне Индзаги,33
Италия,Ювентус,Турин,2011,Игор Тудор,20
Италия,Милан,Милан,2011,Сержиу Консейсан,70
Англия,Манчестер Сити,Манчестер,2000,Пеп Гвардиола,2
Германия,Лейпциг,Лейпциг,2013,Жолт Лев,63
Германия,Боруссия,Дортмунд,2013,Нико Ковач,78
Россия,Зенит,Санкт-Петербург,2022,Семак Сергей Богданович,2
Англия,Челси,Лондон,2025,Энцо Мареска,67
Россия,ЦСКА,Москва,2011,Марко Николич,36
Россия,ЦСКА,Москва,2020,Марко Николич,87
Италия,Милан,Милан,2009,Сержиу Консейсан,19
Англия,Арсенал,Лондон,2023,Микель Артета,17
Россия,Зенит,Санкт-Петербург,2022,Семак Сергей Богданович,43
Италия,Милан,Милан,2016,Сержиу Консейсан,16
Германия,Лейпциг,Лейпциг,2001,Жолт Лев,0
Англия,Арсенал,Лондон,2016,Микель Артета,30
Испания,Атлетико,Мадрид,2011,Диего Симеоне,75
Италия,Интер,Милан,2023, Симоне Индзаги,61
Германия,Лейпциг,Лейпциг,2010,Жолт Лев,6
Германия,Лейпциг,Лейпциг,2003,Жолт Лев,8
Германия,Боруссия,Дортмунд,2001,Нико Ковач,97
Германия,Боруссия,Дортмунд,2001,Нико Ковач,20
Италия,Ювентус,Турин,2017,Игор Тудор,63
