country,club,city,year,trainer,points
Италия,Ювентус,Турин,2020,Игор Тудор,95
Испания,Атлетико,Мадрид,2003,Диего Симеоне,7
Испания,Барселона,Барселона,2010,Ханс‑Дитер Флик,52
Италия,Милан,Милан,2008,Сержиу Консейсан,98
Германия,Боруссия,Дортмунд,2022,Нико Ковач,59
Англия,Манчестер Сити,Манчестер,2019,Пеп Гвардиола,87
Англия,Арсенал,Лондон,2004,Микель Артета,77
Германия,Бавария,Мюнхен,2007,Венсан Компани,48
Италия,Интер,Милан,2014, Симоне Индзаги,56
Италия,Ювентус,Турин,2011,Игор Тудор,13
Германия,Лейпциг,Лейпциг,2010,Жолт Лев,97
Англия,Арсенал,Лондон,2022,Микель Артета,15
Германия,Лейпциг,Лейпциг,2024,Жолт Лев,28
Италия,Ювентус,Турин,2009,Игор Тудор,53
Англия,Арсенал,Лондон,2002,Микель Артета,18
Англия,Манчестер Сити,Манчестер,2003,Пеп Гвардиола,67
Испания,Атлетико,Мадрид,2009,Диего Симеоне,27
Испания,Реал Мадрид,Мадрид,2011,Карло Анчелотти,89
Англия,Арсенал,Лондон,2015,Микель Артета,60
Англия,Челси,Лондон,2004,Энцо Мареска,86
Россия,ЦСКА,Москва,2005,Марко Николич,67
Италия,Интер,Милан,2017, Симоне Индзаги,8
Германия,Лейпциг,Лейпциг,2016,Жолт Лев,88
Италия,Ювентус,Турин,2021,Игор Тудор,11
Германия,Лейпциг,Лейпциг,2022,Жолт Лев,10
Россия,ЦСКА,Москва,2023,Марко Николич,86
Англия,Челси,Лондон,2010,Энцо Мареска,51
Россия,ЦСКА,Москва,2016,Марко Николич,18
Англия,Челси,Лондон,2013,Энцо Мареска,64
Италия,Интер,Милан,2023, Симоне Индзаги,93
Россия,Зенит,Санкт-Петербург,2010,Семак Сергей Богданович,74
Германия,Бавария,Мюнхен,2008,Венсан Компани,52
Италия,Интер,Милан,2015, Симоне Индзаги,89
Италия,Милан,Милан,2009,Сержиу Консейсан,80
Италия,Ювентус,Турин,2007,Игор Тудор,47
Россия,Зенит,Санкт-Петербург,2017,Семак Сергей Богданович,83
Англия,Арсенал,Лондон,2007,Микель Артета,81
Испания,Реал Мадрид,Мадрид,2021,Карло Анчелотти,7
Италия,Интер,Милан,2013, Симоне Индзаги,11
Россия,ЦСКА,Москва,2005,Марко Николич,84
Россия,Спартак,Москва,2017,Деян Станкович,25
Италия,Ювентус,Турин,2022,Игор Тудор,5
Германия,Боруссия,Дортмунд,2002,Нико Ковач,31
Германия,Лейпциг,Лейпциг,2007,Жолт Лев,49
Италия,Милан,Милан,2020,Сержиу Консейсан,75
Англия,Челси,Лондон,2013,Энцо Мареска,53
Италия,Ювентус,Турин,2017,Игор Тудор,68
Англия,Арсенал,Лондон,2012,Микель Артета,67
Испания,Реал Мадрид,Мадрид,2003,Карло Анчелотти,54
Россия,ЦСКА,Москва,2006,Марко Николич,65
Россия,Зенит,Санкт-Петербург,2002,Семак Сергей Богданович,96
Германия,Боруссия,Дортмунд,2007,Нико Ковач,95
Италия,Ювентус,Турин,2004,Игор Тудор,60
Россия,ЦСКА,Москва,2008,Марко Николич,23
Германия,Бавария,Мюнхен,2006,Венсан Компани,63
Россия,Спартак,Москва,2011,Деян Станкович,96
Германия,Лейпциг,Лейпциг,2018,Жолт Лев,23
Испания,Атлетико,Мадрид,2023,Диего Симеоне,57
Англия,Челси,Лондон,2014,Энцо Мареска,20
Германия,Лейпциг,Лейпциг,2021,Жолт Лев,25
Англия,Челси,Лондон,2007,Энцо Мареска,65
Испания,Атлетико,Мадрид,2002,Диего Симеоне,66
Испания,Барселона,Барселона,2018,Ханс‑Дитер Флик,59
Италия,Милан,Милан,2013,Сержиу Консейсан,55
Германия,Лейпциг,Лейпциг,2013,Жолт Лев,14
Германия,Боруссия,Дортмунд,2011,Нико Ковач,32
Англия,Арсенал,Лондон,2009,Микель Артета,21
Россия,Зенит,Санкт-Петербург,2020,Семак Сергей Богданович,62
Испания,Реал Мадрид,Мадрид,2023,Карло Анчелотти,93
Испания,Реал Мадрид,Мадрид,2002,Карло Анчелотти,68
Испания,Реал Мадрид,Мадрид,2017,Карло Анчелотти,64
Италия,Интер,Милан,2000, Симоне Индзаги,0
Германия,Бавария,Мюнхен,2020,Венсан Компани,34
Италия,Интер,Милан,2014, Симоне Индзаги,86
Англия,Арсенал,Лондон,2019,Микель Артета,11
Италия,Ювентус,Турин,2011,Игор Тудор,36
Италия,Ювентус,Турин,2019,Игор Тудор,5
